enter,exit,date,id,location
31,32,2023-07-02T13:20:03.093Z,486,12
33,21,2023-07-02T13:20:03.093Z,725,6
35,29,2023-07-02T13:20:03.093Z,477,10
2,3,2023-07-02T13:20:13.093Z,856,1
7,3,2023-07-02T13:20:13.093Z,753,1
18,13,2023-07-02T13:20:13.093Z,203,3
23,15,2023-07-02T13:20:13.093Z,799,14
35,30,2023-07-02T13:20:13.093Z,874,10
6,10,2023-07-02T13:20:23.093Z,790,8
18,4,2023-07-02T13:20:23.093Z,276,3
23,24,2023-07-02T13:20:23.093Z,266,14
35,29,2023-07-02T13:20:23.093Z,888,10
1,0,2023-07-02T13:20:33.093Z,949,7
15,13,2023-07-02T13:20:33.093Z,394,3
24,35,2023-07-02T13:20:33.093Z,266,4
33,28,2023-07-02T13:20:33.093Z,992,6
9,14,2023-07-02T13:20:43.093Z,856,13
20,35,2023-07-02T13:20:43.093Z,694,4
33,21,2023-07-02T13:20:43.093Z,342,6
5,20,2023-07-02T13:20:53.093Z,517,3
20,26,2023-07-02T13:20:53.093Z,180,4
27,34,2023-07-02T13:20:53.093Z,583,5
0,3,2023-07-02T13:21:03.093Z,177,1
24,35,2023-07-02T13:21:03.093Z,668,4
33,25,2023-07-02T13:21:03.093Z,118,6
16,4,2023-07-02T13:21:13.093Z,116,3
9,14,2023-07-02T13:20:13.093Z,187,13
17,16,2023-07-02T13:20:13.093Z,116,9
33,28,2023-07-02T13:20:13.093Z,77,6
10,5,2023-07-02T13:20:23.093Z,517,2
31,32,2023-07-02T13:20:23.093Z,453,12
34,18,2023-07-02T13:20:23.093Z,38,7
3,9,2023-07-02T13:20:33.093Z,856,2
10,11,2023-07-02T13:20:33.093Z,550,2
17,22,2023-07-02T13:20:33.093Z,479,9
21,16,2023-07-02T13:20:33.093Z,253,9
3,9,2023-07-02T13:20:43.093Z,753,2
29,27,2023-07-02T13:20:43.093Z,569,11
10,5,2023-07-02T13:20:53.093Z,202,2
18,17,2023-07-02T13:20:53.093Z,369,3
33,28,2023-07-02T13:20:53.093Z,861,6
3,5,2023-07-02T13:21:03.093Z,448,2
18,17,2023-07-02T13:21:03.093Z,38,3
34,33,2023-07-02T13:21:03.093Z,300,7
5,20,2023-07-02T13:21:13.093Z,202,3
15,13,2023-07-02T13:21:13.093Z,530,3
31,32,2023-07-02T13:21:13.093Z,891,12
32,25,2023-07-02T13:21:03.093Z,176,6
3,11,2023-07-02T13:21:13.093Z,949,2
13,14,2023-07-02T13:21:13.093Z,877,13
21,22,2023-07-02T13:21:13.093Z,626,9
33,28,2023-07-02T13:21:13.093Z,290,6
1,18,2023-07-02T13:21:23.093Z,225,7
