enter,exit,date,id,location
9,14,2023-07-06T08:14:33.093Z,524,13
14,17,2023-07-06T08:14:33.093Z,1,3
19,33,2023-07-06T08:14:33.093Z,169,7
23,24,2023-07-06T08:14:33.093Z,323,14
1,18,2023-07-06T08:14:43.093Z,482,7
35,30,2023-07-06T08:14:33.093Z,503,10
5,13,2023-07-06T08:14:43.093Z,124,3
3,11,2023-07-06T08:14:23.093Z,237,2
5,17,2023-07-06T08:14:23.093Z,701,3
6,7,2023-07-06T08:14:23.093Z,220,8
14,12,2023-07-06T08:14:23.093Z,319,3
15,17,2023-07-06T08:14:23.093Z,638,3
17,16,2023-07-06T08:14:23.093Z,876,9
19,18,2023-07-06T08:14:23.093Z,353,7
29,27,2023-07-06T08:14:23.093Z,247,11
32,28,2023-07-06T08:14:23.093Z,453,6
4,5,2023-07-06T08:14:33.093Z,154,2
7,6,2023-07-06T08:14:33.093Z,970,1
13,8,2023-07-06T08:14:33.093Z,616,13
17,23,2023-07-06T08:14:33.093Z,106,9
21,22,2023-07-06T08:14:33.093Z,261,9
34,0,2023-07-06T08:14:33.093Z,770,7
10,11,2023-07-06T08:14:43.093Z,949,2
4,5,2023-07-06T08:14:43.093Z,558,2
7,1,2023-07-06T08:14:43.093Z,7,1
4,2,2023-07-06T08:14:23.093Z,732,2
7,3,2023-07-06T08:14:23.093Z,973,1
21,16,2023-07-06T08:14:23.093Z,293,9
22,21,2023-07-06T08:14:23.093Z,775,6
27,31,2023-07-06T08:14:23.093Z,601,5
1,18,2023-07-06T08:14:33.093Z,589,7
6,10,2023-07-06T08:14:33.093Z,949,8
11,11,2023-07-06T08:14:33.093Z,237,8
16,20,2023-07-06T08:14:33.093Z,466,3
20,35,2023-07-06T08:14:33.093Z,380,4
25,15,2023-07-06T08:14:33.093Z,465,14
3,11,2023-07-06T08:14:43.093Z,973,2
6,10,2023-07-06T08:14:43.093Z,86,8
13,14,2023-07-06T08:16:23.093Z,726,13
15,13,2023-07-06T08:16:23.093Z,225,3
17,16,2023-07-06T08:16:23.093Z,27,9
18,20,2023-07-06T08:16:23.093Z,884,3
21,22,2023-07-06T08:16:23.093Z,652,9
24,35,2023-07-06T08:16:23.093Z,871,4
14,12,2023-07-06T08:16:23.093Z,616,3
19,33,2023-07-06T08:16:23.093Z,141,7
22,21,2023-07-06T08:16:23.093Z,63,6
31,32,2023-07-06T08:16:23.093Z,250,12
34,33,2023-07-06T08:16:23.093Z,42,7
2,6,2023-07-06T08:16:33.093Z,785,1
7,6,2023-07-06T08:16:33.093Z,613,1
10,9,2023-07-06T08:16:33.093Z,321,2
13,8,2023-07-06T08:16:33.093Z,64,13
14,17,2023-07-06T08:16:33.093Z,441,3
17,22,2023-07-06T08:16:33.093Z,858,9
19,18,2023-07-06T08:16:33.093Z,282,7
20,35,2023-07-06T08:16:33.093Z,934,4
21,22,2023-07-06T08:16:33.093Z,52,9
26,27,2023-07-06T08:16:33.093Z,472,11
30,32,2023-07-06T08:16:33.093Z,19,12
34,33,2023-07-06T08:16:33.093Z,888,7
2,1,2023-07-06T08:16:43.093Z,970,1
3,5,2023-07-06T08:16:43.093Z,220,2
4,2,2023-07-06T08:16:43.093Z,360,2
8,2,2023-07-06T08:16:43.093Z,238,2
12,7,2023-07-06T08:16:43.093Z,226,8
13,8,2023-07-06T08:16:43.093Z,499,13
15,20,2023-07-06T08:16:43.093Z,729,3
17,22,2023-07-06T08:16:43.093Z,444,9
20,35,2023-07-06T08:16:43.093Z,466,4
22,25,2023-07-06T08:16:43.093Z,326,6
29,27,2023-07-06T08:16:43.093Z,745,11
35,29,2023-07-06T08:16:43.093Z,536,10
4,5,2023-07-06T08:16:53.093Z,951,2
6,10,2023-07-06T08:16:53.093Z,825,8
29,27,2023-07-06T08:16:23.093Z,88,11
32,34,2023-07-06T08:16:23.093Z,919,6
6,10,2023-07-06T08:16:33.093Z,339,8
9,8,2023-07-06T08:16:33.093Z,755,13
12,7,2023-07-06T08:16:33.093Z,319,8
15,19,2023-07-06T08:16:33.093Z,350,3
18,4,2023-07-06T08:16:33.093Z,50,3
22,34,2023-07-06T08:16:33.093Z,200,6
27,34,2023-07-06T08:16:33.093Z,939,5
32,34,2023-07-06T08:16:33.093Z,866,6
1,33,2023-07-06T08:16:43.093Z,235,7
6,10,2023-07-06T08:16:43.093Z,767,8
9,14,2023-07-06T08:16:43.093Z,353,13
10,5,2023-07-06T08:16:43.093Z,339,2
14,12,2023-07-06T08:16:43.093Z,712,3
16,20,2023-07-06T08:16:43.093Z,882,3
18,13,2023-07-06T08:16:43.093Z,277,3
21,16,2023-07-06T08:16:43.093Z,775,9
27,34,2023-07-06T08:16:43.093Z,54,5
32,21,2023-07-06T08:16:43.093Z,850,6
1,18,2023-07-06T08:16:53.093Z,111,7
5,13,2023-07-06T08:16:53.093Z,714,3
7,1,2023-07-06T08:16:53.093Z,461,1
9,8,2023-07-06T08:16:53.093Z,321,13
12,10,2023-07-06T08:16:53.093Z,897,8
14,19,2023-07-06T08:16:53.093Z,363,3
20,26,2023-07-06T08:16:53.093Z,876,4
22,28,2023-07-06T08:16:53.093Z,190,6
29,27,2023-07-06T08:16:53.093Z,261,11
32,34,2023-07-06T08:16:53.093Z,234,6
35,30,2023-07-06T08:16:53.093Z,454,10
6,10,2023-07-06T08:17:03.093Z,118,8
12,7,2023-07-06T08:17:03.093Z,728,8
14,12,2023-07-06T08:17:03.093Z,124,3
9,14,2023-07-06T08:15:03.093Z,366,13
11,7,2023-07-06T08:15:03.093Z,949,8
14,12,2023-07-06T08:14:43.093Z,226,3
17,16,2023-07-06T08:14:43.093Z,499,9
20,26,2023-07-06T08:14:43.093Z,128,4
24,35,2023-07-06T08:14:43.093Z,323,4
0,6,2023-07-06T08:14:53.093Z,388,1
11,10,2023-07-06T08:14:53.093Z,973,8
17,16,2023-07-06T08:14:53.093Z,882,9
20,35,2023-07-06T08:14:53.093Z,745,4
32,28,2023-07-06T08:14:53.093Z,747,6
35,30,2023-07-06T08:14:53.093Z,516,10
1,18,2023-07-06T08:15:03.093Z,778,7
6,10,2023-07-06T08:15:03.093Z,714,8
8,9,2023-07-06T08:15:03.093Z,616,2
10,2,2023-07-06T08:15:03.093Z,86,2
12,7,2023-07-06T08:15:03.093Z,461,8
14,19,2023-07-06T08:15:03.093Z,665,3
15,20,2023-07-06T08:15:03.093Z,43,3
17,16,2023-07-06T08:15:03.093Z,580,9
18,13,2023-07-06T08:15:03.093Z,726,3
19,33,2023-07-06T08:15:03.093Z,337,7
20,35,2023-07-06T08:15:03.093Z,19,4
21,16,2023-07-06T08:15:03.093Z,283,9
26,27,2023-07-06T08:15:03.093Z,128,11
27,31,2023-07-06T08:15:03.093Z,250,5
28,30,2023-07-06T08:15:03.093Z,956,10
32,34,2023-07-06T08:15:03.093Z,396,6
34,33,2023-07-06T08:15:03.093Z,541,7
35,29,2023-07-06T08:15:03.093Z,380,10
0,3,2023-07-06T08:15:13.093Z,194,1
1,33,2023-07-06T08:15:13.093Z,968,7
2,1,2023-07-06T08:15:13.093Z,732,1
4,9,2023-07-06T08:15:13.093Z,647,2
5,19,2023-07-06T08:15:13.093Z,610,3
6,7,2023-07-06T08:15:13.093Z,486,8
7,1,2023-07-06T08:15:13.093Z,239,1
9,14,2023-07-06T08:15:13.093Z,616,13
10,5,2023-07-06T08:15:13.093Z,237,2
14,4,2023-07-06T08:15:13.093Z,38,3
15,12,2023-07-06T08:15:13.093Z,851,3
16,17,2023-07-06T08:15:13.093Z,293,3
17,22,2023-07-06T08:15:13.093Z,958,9
18,20,2023-07-06T08:15:13.093Z,737,3
19,33,2023-07-06T08:15:13.093Z,844,7
22,28,2023-07-06T08:15:13.093Z,261,6
27,34,2023-07-06T08:15:13.093Z,442,5
29,27,2023-07-06T08:15:13.093Z,380,11
30,32,2023-07-06T08:15:13.093Z,510,12
31,32,2023-07-06T08:15:13.093Z,831,12
0,3,2023-07-06T08:15:23.093Z,770,1
1,0,2023-07-06T08:15:23.093Z,755,7
2,1,2023-07-06T08:15:23.093Z,687,1
4,9,2023-07-06T08:15:23.093Z,712,2
5,13,2023-07-06T08:15:23.093Z,64,3
6,10,2023-07-06T08:15:23.093Z,331,8
7,6,2023-07-06T08:15:23.093Z,118,1
9,8,2023-07-06T08:15:23.093Z,647,13
10,5,2023-07-06T08:15:23.093Z,973,2
12,7,2023-07-06T08:15:23.093Z,181,8
15,19,2023-07-06T08:15:23.093Z,282,3
16,4,2023-07-06T08:15:23.093Z,785,3
17,22,2023-07-06T08:15:23.093Z,63,9
