enter,exit,date,id,location
2,6,2023-06-09T03:49:33.093Z,202,1
21,23,2023-06-09T03:49:33.093Z,551,9
34,18,2023-06-09T03:49:33.093Z,734,7
0,6,2023-06-09T03:49:43.093Z,676,1
17,23,2023-06-09T03:49:43.093Z,995,9
26,27,2023-06-09T03:49:43.093Z,786,11
30,32,2023-06-09T03:49:43.093Z,614,12
1,0,2023-06-09T03:49:53.093Z,194,7
2,6,2023-06-09T03:49:53.093Z,298,1
4,9,2023-06-09T03:49:53.093Z,406,2
14,17,2023-06-09T03:49:53.093Z,379,3
18,4,2023-06-09T03:49:53.093Z,734,3
19,33,2023-06-09T03:49:53.093Z,148,7
21,23,2023-06-09T03:49:53.093Z,416,9
23,15,2023-06-09T03:49:53.093Z,995,14
26,27,2023-06-09T03:49:53.093Z,842,11
30,32,2023-06-09T03:49:53.093Z,468,12
32,21,2023-06-09T03:49:53.093Z,614,6
3,5,2023-06-09T03:50:03.093Z,791,2
4,9,2023-06-09T03:50:03.093Z,734,2
6,10,2023-06-09T03:50:03.093Z,676,8
7,3,2023-06-09T03:50:03.093Z,8,1
9,14,2023-06-09T03:50:03.093Z,406,13
23,24,2023-06-09T03:50:03.093Z,416,14
32,25,2023-06-09T03:50:03.093Z,468,6
0,3,2023-06-09T03:50:13.093Z,194,1
3,5,2023-06-09T03:50:13.093Z,8,2
5,17,2023-06-09T03:50:13.093Z,791,3
6,7,2023-06-09T03:50:13.093Z,298,8
7,1,2023-06-09T03:50:13.093Z,202,1
10,9,2023-06-09T03:50:13.093Z,676,2
27,31,2023-06-09T03:50:13.093Z,991,5
4,2,2023-06-09T03:50:23.093Z,225,2
7,1,2023-06-09T03:50:23.093Z,298,1
25,15,2023-06-09T03:50:23.093Z,468,14
9,14,2023-06-09T03:50:33.093Z,734,13
15,12,2023-06-09T03:50:33.093Z,132,3
31,32,2023-06-09T03:50:33.093Z,674,12
9,14,2023-06-09T03:50:43.093Z,676,13
27,31,2023-06-09T03:50:43.093Z,786,5
12,7,2023-06-09T03:50:53.093Z,419,8
13,14,2023-06-09T03:50:53.093Z,299,13
14,20,2023-06-09T03:50:53.093Z,406,3
15,20,2023-06-09T03:50:53.093Z,369,3
29,27,2023-06-09T03:50:53.093Z,879,11
31,32,2023-06-09T03:50:53.093Z,991,12
32,25,2023-06-09T03:50:53.093Z,674,6
34,0,2023-06-09T03:50:53.093Z,208,7
12,7,2023-06-09T03:51:03.093Z,181,8
17,16,2023-06-09T03:51:03.093Z,905,9
31,32,2023-06-09T03:51:03.093Z,786,12
34,18,2023-06-09T03:51:03.093Z,980,7
7,1,2023-06-09T03:51:13.093Z,419,1
12,10,2023-06-09T03:51:13.093Z,650,8
14,17,2023-06-09T03:51:13.093Z,734,3
15,13,2023-06-09T03:51:13.093Z,995,3
25,24,2023-06-09T03:51:13.093Z,674,14
32,21,2023-06-09T03:51:13.093Z,991,6
34,33,2023-06-09T03:51:13.093Z,909,7
0,3,2023-06-09T03:51:23.093Z,208,1
2,1,2023-06-09T03:51:23.093Z,225,1
7,1,2023-06-09T03:51:23.093Z,181,1
12,10,2023-06-09T03:51:23.093Z,828,8
13,14,2023-06-09T03:51:23.093Z,995,13
14,17,2023-06-09T03:51:23.093Z,676,3
15,20,2023-06-09T03:51:23.093Z,545,3
17,16,2023-06-09T03:51:23.093Z,379,9
18,12,2023-06-09T03:51:23.093Z,980,3
21,23,2023-06-09T03:51:23.093Z,614,9
12,7,2023-06-09T03:51:33.093Z,55,8
17,16,2023-06-09T03:51:33.093Z,791,9
21,16,2023-06-09T03:51:33.093Z,898,9
23,24,2023-06-09T03:51:33.093Z,614,14
34,18,2023-06-09T03:51:33.093Z,760,7
10,9,2023-06-09T03:51:43.093Z,828,2
14,19,2023-06-09T03:51:43.093Z,299,3
15,13,2023-06-09T03:51:43.093Z,468,3
16,20,2023-06-09T03:51:43.093Z,905,3
17,22,2023-06-09T03:51:43.093Z,734,9
9,8,2023-06-09T03:51:53.093Z,828,13
14,20,2023-06-09T03:51:53.093Z,995,3
16,4,2023-06-09T03:51:53.093Z,379,3
18,13,2023-06-09T03:51:53.093Z,760,3
20,26,2023-06-09T03:51:53.093Z,406,4
21,22,2023-06-09T03:51:53.093Z,991,9
34,18,2023-06-09T03:51:53.093Z,91,7
8,2,2023-06-09T03:52:03.093Z,828,2
16,4,2023-06-09T03:52:03.093Z,791,3
20,35,2023-06-09T03:52:03.093Z,369,4
21,22,2023-06-09T03:52:03.093Z,645,9
22,28,2023-06-09T03:52:03.093Z,734,6
24,26,2023-06-09T03:52:03.093Z,614,4
27,34,2023-06-09T03:52:03.093Z,879,5
33,25,2023-06-09T03:52:03.093Z,982,6
2,3,2023-06-09T03:52:13.093Z,828,1
4,5,2023-06-09T03:52:13.093Z,379,2
10,5,2023-06-09T03:52:13.093Z,679,2
18,17,2023-06-09T03:52:13.093Z,91,3
24,26,2023-06-09T03:52:13.093Z,416,4
33,25,2023-06-09T03:52:13.093Z,148,6
3,11,2023-06-09T03:52:23.093Z,828,2
4,2,2023-06-09T03:52:23.093Z,791,2
16,17,2023-06-09T03:52:23.093Z,898,3
